objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
1,CrossAsia Fulltext Search,,Subject Guides and Bibliographies,https://crossasia.org/service/crossasia-lab/crossasia-fulltext-search,Staatsbibliothek zu Berlin,open access,ACLS Open Database Resource Guide,"Full-text,Digital humanities","The CrossAsia Fulltext Search is built from textual resources hosted in the CrossAsia Integrated Text Repository (ITR) and is open to all users. Its aim is to help users find texts and sources relevant to their research questions by performing comprehensive fulltext searches across databases. Currently searchable: approximately 538,309 titles (books and issues) with 86.4 million pages archived in the CrossAsia ITR. The search interface offers two modes: a 'guided' search (Type A), in which hits are grouped and displayed by book and ranked by number of pages with hits; and an 'explorative' search (Type B), in which both fulltext and metadata are searched simultaneously and results are ranked by index score. In addition to fulltext search, CrossAsia also provides the CrossAsia N-gram Service, which publishes character frequency datasets for selected collections, and the CrossAsia ITR Explorer and CrossAsia ITR Newspaper Explorer, which enable analysis and visualization of data stored in the ITR. The ITR continues to grow with more fulltexts being added continuously.",9,5/13/2026 12:09am
2,Chinese big sets in IVY-Plus Libraries,,Subject Guides and Bibliographies,https://docs.google.com/spreadsheets/d/1I5DwJkpuZAnHrHC-8Be4NOuDuh5mA6dx2oG-OZ60pzg/edit?usp=sharing,Ivy Plus Libraries,open access,ACLS Open Database Resource Guide,Secondary sources,"In recent years publishers in mainland China have printed large collections of primary and secondary print material. This spreadsheet, maintained by Joshua Seufert of Princeton Libraries, provides information on bibliographic and Ivy Plus holding information for large sets of primary source materials published in mainland China. The list is current through July 2024 and contains 2947 titles currently held by Ivy Plus Libraries. The OCLC library codes are :RBN Brown, CGU Chicago, ZCU Columbia, COO Cornell, DRB Dartmouth, NDD Duke, HUL Harvard (Main Library and Yenching), HFL Harvard Fine Arts, HVL Harvard Law, JHE Johns Hopkins, PUL Princeton, PAU Upenn, STF Stanford, YUS Yale, and CRL Center for Research Libraries.",7,5/16/2026 1:14pm
3,ReCAP Chinese Journals public list,,Subject Guides and Bibliographies,https://docs.google.com/spreadsheets/d/165PydKvnv1nmWKMpi8bYFsKnY-ZMhkKNJ5gku7WdNCA/edit?gid=965348405#gid=965348405,ReCAP (Research Collections and Preservation Consortium),open access,ACLS Open Database Resource Guide,"Contemporary (post-1978),Newspapers and periodicals","This spreadsheet provides holding information on 1,350 Chinese periodicals archived by member libraries of the ReCAP (Research Collections and Preservation Consortium). ReCAP is a 501(c)3 not-for-profit corporation incorporated in 2000 that preserves collections and enables resource sharing among its member libraries: Columbia University, Harvard University, The New York Public Library, Princeton University, and Yale University. The spreadsheet lists journal titles, ISSN numbers, coverage dates, and holding information by institution, and is intended to help researchers identify which ReCAP member library holds a given Chinese periodical.",7,5/16/2026 1:14pm
4,East Asian Gateway Service,,Subject Guides and Bibliographies,https://library.pitt.edu/eal-gateway-service,University of Pittsburgh,open access,ACLS Open Database Resource Guide,"Macau,Hong Kong,Taiwan","The East Asian Gateway Service (EAGS) was established in October 1998 and has been financially supported by the University of Pittsburgh Library System since October 2001. The EAGS is a pioneer in developing transcontinental interlibrary partnerships, focusing on free delivery of full-text Chinese and Korean language academic publications to researchers. Chinese documents are available to any individual researcher or non-profit organization for research and teaching purposes who cannot find the needed item in any U.S. library. Korean language materials are available to University of Pittsburgh faculty and students only. The service is reciprocal, as ULS provides document delivery service of English language materials to Chinese and Korean partner libraries. The EAGS has succeeded in providing research support to thousands of China scholars in the United States and researchers in China. The EAGS has partnerships with libraries in mainland China, Hong Kong, Macau, Taiwan, and Korea, covering 40 states in America and serving more than 130 colleges and universities.",7,5/16/2026 1:14pm
5,National Center for Philosophy & Social Science Documentation,国家哲学社会科学文献中心(中国社科院),Academic Journals and Articles (Contemporary),https://www.ncpssd.cn/journal/index,Chinese Academy of Social Sciences,open access,ACLS Open Database Resource Guide,"Philosophy,Secondary sources,Full-text","Administered by the Chinese Academy of Social Sciences, the National Center for Philosophy and Social Science Documentation (NCPSSD) is a free open-access platform providing approximately 2,487 Chinese academic journals and collected works (期刊、集刊、辑刊), with over 27 million data entries covering philosophy, social sciences, and humanities. Journals are browsable by subject category (philosophy & religion, social sciences, politics & law, economics & management, cultural science, linguistics, literature, art, and history & geography), by national social science funding status, by core journal designation, by party-building designation, and by region. It includes approximately 20,000 Chinese rare books in high-resolution scans (with watermarks). Institutions can request IP-based access. The database interface is in Chinese only.",8,5/16/2026 1:14pm
6,Hong Kong Journals Online,,Academic Journals and Articles (Contemporary),https://digitalrepository.lib.hku.hk/hkjo,University of Hong Kong,open access,ACLS Open Database Resource Guide,"Hong Kong,Medicine,Secondary sources,Full-text","Hong Kong Journals Online (HKJO) is a full-text image database developed by the University of Hong Kong Libraries, providing access to selected academic and professional journals in both English and Chinese published in Hong Kong. Subjects covered include philosophy & religion, social sciences, law, language & literature, science & technology, medical & health, buildings & construction, arts & recreation, and history & geography. Issues included vary from journal to journal, with the earliest going back to 1872. Currently, more than 491,290 images from over 60 titles are accessible in the database. New issues continue to be added as they are received, and more titles with granted digitization permissions are being included. Scholars doing research on Hong Kong will find this an invaluable resource.",8,5/16/2026 1:14pm
7,NCL Taiwan Periodical Literature,臺灣期刊文獻資訊網,Academic Journals and Articles (Contemporary),https://tpl.ncl.edu.tw/NclService/,National Central Library (Taiwan),open access,ACLS Open Database Resource Guide,"Taiwan,Macau,Singapore,Hong Kong,Contemporary (post-1978),Literature,Full-text,Newspapers and periodicals","The NCL Taiwan Periodical Literature (formerly PerioPath: Index to Taiwan Periodical Literature System / 臺灣期刊文獻資訊網), developed by Taiwan's National Central Library, was originally launched as the Index to Chinese Periodicals in January 1970. The database indexes Chinese and Western language periodicals primarily published in Taiwan since 1970, with some journals from Hong Kong, Macau, and Singapore also included. The database currently covers more than 5,500 journal titles with more than 2.76 million article citations, of which approximately 420,000 articles have been authorized by publishers for open-access full-text viewing. Some academic journals published before 1970 are also available. The system provides comprehensive indexing for post-WWII periodical literature from Taiwan.",8,5/16/2026 1:14pm
8,PubScholar (Chinese),,Academic Journals and Articles (Contemporary),https://pubscholar.cn/,Chinese Academy of Sciences,open access,ACLS Open Database Resource Guide,"Science and Technology,Dataset,Secondary sources,Full-text","PubScholar is a free public welfare academic platform launched in November 2023 by the Chinese Academy of Sciences (CAS). The platform provides access to over 107 million journal articles, as well as preprints, patents, dissertations, scientific datasets, and open-source software—totaling several hundred million academic resources. Content is primarily focused on the natural sciences, engineering, and technology, though social sciences are also represented. PubScholar offers AI-powered tools including 'Kexun Toutiao' (科讯头条), an automated subject intelligence monitoring platform, along with intelligent literature summarization and document-level OCR. The platform interface is available in both Chinese and English. It supports the Directory of Open Access Journals (DOAJ) and is committed to open-access cooperation with academic resource institutions at home and abroad.",8,5/16/2026 1:14pm
9,Biblioteca Virtual de Macau,澳門虛擬圖書館,Academic Journals and Articles (Contemporary),https://www.macaudata.mo/,Macao Foundation,open access,ACLS Open Database Resource Guide,"Macau,Contemporary (post-1978),Full-text","The Biblioteca Virtual de Macau (澳門虛擬圖書館) is a free online reading platform established in 1999 by the Macao Foundation (澳門基金會), dedicated to Macau studies (澳門學). The platform provides open access to thousands of publications in or about Macao, including books, academic journals, and dissertations from local government agencies, universities, and cultural organizations. In addition to a searchable library of books and journals (書刊文庫), the platform features a Scholar Zone (學者專區) profiling researchers working on Macao, an Institutional Directory (機構團體) connecting publishers and academic bodies, an Academic News section (學術動態), and themed online exhibitions (專題特展). A major redesign in 2022 expanded full-text search capabilities and integrated scholarly news and book reviews. The platform accepts submissions of Macao publications from organizations and individuals and has a companion mobile app. Content is available in Chinese and Portuguese.",8,5/16/2026 1:14pm
10,Classical Historiography for Chinese History,中國經典文獻工具書錄,Subject Guides and Bibliographies,https://libguides.princeton.edu/chinese-historiography/,Princeton University,open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Philosophy,Secondary sources","Classical Historiography for Chinese History (中國經典文獻工具書錄) is a research guide compiled by Benjamin A. Elman, Professor of East Asian Studies and History at Princeton University, with contributions from collaborators at Fudan University, Academia Sinica, the University of Houston, and Princeton University. Originally developed from bibliography courses at the University of Pennsylvania (1975–1977), the guide provides annotated references to classical Chinese historiographical sources and sinological reference works. All entries are alphabetized within each section and romanized in Pinyin following Library of Congress guidelines. The entire site is searchable. The guide is hosted in Princeton University Library's LibGuides East Asian Studies Portal and was last revised in October 2022.",7,5/16/2026 1:14pm
